video_id,class,kinetics_start,kinetics_end,repetition_start,repetition_end,count
APkos_Kqa3M,battle rope training,17,27,17.000000,26.976643,20
AaTvErday_s,battle rope training,121,131,121.900000,131.000000,12
AnEm66_ZHvQ,battle rope training,20,30,21.001001,29.809810,8
AsJgDPLu_ro,battle rope training,13,23,13.000000,14.468135,3
AsJgDPLu_ro,battle rope training,13,23,18.638972,22.876543,11
BuhAROfTtx8,battle rope training,1,11,4.327619,10.982858,9
C-X1eJftb-g,battle rope training,19,29,19.000000,28.976643,19
DMc9Jkvwc_s,battle rope training,17,27,17.000000,19.400000,4
DMc9Jkvwc_s,battle rope training,17,27,19.733333,26.233333,9
DkonD7QOe64,battle rope training,12,22,12.000000,13.301301,7
DkonD7QOe64,battle rope training,12,22,13.601602,21.225893,35
D5Ge91h0XZw,battle rope training,38,48,38.000000,44.633333,7
EKEJHzTW53s,battle rope training,15,25,22.400000,24.866667,3
EKEJHzTW53s,battle rope training,15,25,15.000000,17.666666,4
E2iBgyvSZ9U,battle rope training,192,202,192.000000,196.250000,5
FGsndIt1TW4,battle rope training,0,10,1.334668,9.976643,30
FQaVcc3dH40,battle rope training,70,80,70.000000,73.503504,18
F-8dgkZaeIk,battle rope training,0,10,5.083334,10.000000,20
GWOuD3bwuEs,battle rope training,31,41,33.308542,40.970223,34
GgB8iZiCT1o,battle rope training,32,42,32.000000,34.833333,7
GgB8iZiCT1o,battle rope training,32,42,37.100000,42.000000,14
HIZspvfDzDY,battle rope training,5,15,5.000000,12.207207,15
IMUfloztTy8,battle rope training,0,10,2.600000,10.000000,30
Iq4o6y85Vec,battle rope training,186,196,186.000000,192.214548,4
JDdb4kNuKOE,battle rope training,14,24,14.000000,23.976643,25
JQu6cUHQTpI,battle rope training,220,230,220.000000,224.937437,7
KTt523FY7MI,battle rope training,0,10,1.533333,10.000000,73
KdF4TYh6YU4,battle rope training,33,43,33.000000,42.533333,16
K29P_UTBYRg,battle rope training,0,10,0.000000,9.976643,6
M1xNdRTPKwo,battle rope training,39,49,39.000000,45.923590,11
M7Urc9uBjBU,battle rope training,34,44,43.040000,44.000000,2
N0LntA705tY,battle rope training,0,10,0.000000,6.683333,9
N0LntA705tY,battle rope training,0,10,6.766667,10.000000,3
OCKdRmWU1nE,battle rope training,21,31,21.000000,26.200000,8
OCKdRmWU1nE,battle rope training,21,31,26.680000,31.000000,16
O6LHTs3bMG8,battle rope training,5,15,6.033333,15.000000,30
PKeK_H-DOvU,battle rope training,7,17,7.000000,16.200000,41
Qdz2TK3Gd-U,battle rope training,11,21,18.807808,20.959960,14
QvHRHdDaSI8,battle rope training,19,29,19.000000,23.206897,12
Q2L3tDbuIus,battle rope training,0,10,0.000000,6.300000,8
Q2t1S__Hugo,battle rope training,0,10,6.066667,10.000000,23
RGq54UYpkmo,battle rope training,1,11,1.533867,10.142476,6
RLrJsS3uir8,battle rope training,1,11,1.000000,10.109109,5
RQ48AUI_unk,battle rope training,312,322,319.866667,322.000000,3
Rj3qGw4wXDk,battle rope training,0,10,4.533333,9.666667,21
RlDSusLqfPU,battle rope training,33,43,33.667334,40.424091,4
R9zEwOi7gyU,battle rope training,35,45,35.000000,35.400000,2
R9zEwOi7gyU,battle rope training,35,45,38.466667,41.233333,19
R9zEwOi7gyU,battle rope training,35,45,44.600000,45.000000,3
R98X4gBGuhg,battle rope training,88,98,88.000000,98.000000,32
SGXtlWfhh_M,battle rope training,19,29,19.000000,23.337671,4
THGD3_0enHU,battle rope training,7,17,7.000000,16.872677,6
TzvT-p_Hq-Y,battle rope training,28,38,29.117784,31.603603,5
TzvT-p_Hq-Y,battle rope training,28,38,34.306306,37.943277,6
VpUOfMeFx-U,battle rope training,63,73,63.000000,67.800000,9
V9yyYRHqWOE,battle rope training,27,37,33.440000,37.000000,7
W2bvLjnEsMo,battle rope training,22,32,22.083333,31.458333,14
YlDyf8pJ1AY,battle rope training,7,17,7.000000,17.000000,34
ZAzz9icRTLY,battle rope training,15,25,15.000000,21.106106,26
a-APH0A_8FU,battle rope training,1,11,6.766667,11.000000,11
bEo2REq5rNo,battle rope training,72,82,72.000000,82.000000,30
bP15zMeQFRQ,battle rope training,0,10,0.000000,9.000000,18
bb9VlOqeeWo,battle rope training,11,21,11.000000,12.468135,2
bb9VlOqeeWo,battle rope training,11,21,13.469136,20.109109,13
deifD9uXqHY,battle rope training,5,15,7.450000,9.600000,12
deifD9uXqHY,battle rope training,5,15,14.216667,14.933333,10
dm8jRVaTVU8,battle rope training,0,10,0.000000,7.482759,2
e9qMAKsTugA,battle rope training,44,54,44.680000,46.480000,11
f0NROisZxSQ,battle rope training,0,10,0.000000,9.968302,46
f8WmWqDfDWA,battle rope training,0,10,0.000000,7.907908,15
gmFBIDELc2A,battle rope training,18,28,18.000000,28.000000,23
g5WozmwLles,battle rope training,16,26,16.884217,20.854855,4
g8eOBQ4ceSU,battle rope training,67,77,68.150000,71.700000,4
g8eOBQ4ceSU,battle rope training,67,77,74.566666,76.950000,3
hEk_hUf5SrM,battle rope training,0,10,0.500501,6.272940,4
hHdt-T-9m8k,battle rope training,97,107,97.000000,107.000000,16
i1C2_DysMBQ,battle rope training,159,169,159.000000,162.516667,9
i1C2_DysMBQ,battle rope training,159,169,164.433333,169.000000,16
jicpnWiGUxg,battle rope training,6,16,6.000000,15.009009,33
jjVpRAHiDiU,battle rope training,1,11,1.000000,10.517241,25
kGiNcopDxYo,battle rope training,0,10,3.333333,9.200000,27
klIJt63NnU0,battle rope training,104,114,104.000000,107.533333,9
klIJt63NnU0,battle rope training,104,114,110.966667,114.000000,16
k3OYki3qGs0,battle rope training,72,82,72.000000,76.637971,9
lK84CEi3-FA,battle rope training,0,10,0.000000,10.000000,48
lb8FUJtB8Dk,battle rope training,2,12,8.573240,11.976643,9
l0IbxJrvkps,battle rope training,0,10,1.434768,5.338672,5
nQD9ZYqcjYk,battle rope training,5,15,5.657053,14.648304,13
ngmxcA8EYjc,battle rope training,4,14,5.000000,14.000000,24
nhjBZrGRwRc,battle rope training,220,230,221.418085,223.386720,9
nhjBZrGRwRc,battle rope training,220,230,223.937271,229.976643,27
nkcSXqDjiGw,battle rope training,21,31,21.000000,28.173841,25
p-FfGCmmvKg,battle rope training,1,11,2.710186,9.092100,3
qCM65vJ2DJw,battle rope training,0,10,0.000000,7.233333,27
qCM65vJ2DJw,battle rope training,0,10,9.533333,10.000000,3
qLNixvfHXIg,battle rope training,6,16,6.068966,15.724138,36
r1B4eCjOsQA,battle rope training,147,157,147.000000,151.818793,10
r1B4eCjOsQA,battle rope training,147,157,152.655389,156.972225,9
r1Y8JuMLABE,battle rope training,6,16,6.000000,10.600000,7
sH9L1NgTcSQ,battle rope training,23,33,23.000000,25.458333,5
sM3uTGBNGw8,battle rope training,23,33,26.603604,32.676343,18
t4v60Uown1Y,battle rope training,3,13,3.000000,11.591926,44
t4v60Uown1Y,battle rope training,3,13,11.742075,12.959960,4
u45qCLuwa7I,battle rope training,35,45,42.941275,44.943277,9
u45qCLuwa7I,exercising arm,38,48,45.941275,47.943277,9
vJ_v1mvKl0g,battle rope training,0,10,0.000000,2.713623,14
wcWw3vVjAP8,battle rope training,0,10,7.040000,10.000000,8
xCFVQU7cV9I,battle rope training,12,22,13.233333,20.600000,19
1SivOp5wzR4,battle rope training,12,22,12.000000,20.508509,9
1d0-R_pKSZg,battle rope training,0,10,1.040000,6.760000,7
1_upM1fAcag,battle rope training,4,14,4.640000,13.600000,19
2VOqDdMi3wM,battle rope training,5,15,6.500000,9.866667,6
2VOqDdMi3wM,battle rope training,5,15,12.000000,14.966667,5
2rv0vPhN_Tw,battle rope training,27,37,27.000000,37.000000,58
268qJev1jaE,battle rope training,0,10,0.000000,2.800000,5
3MD0o9k_NS8,battle rope training,47,57,47.000000,57.000000,44
4Hr__qMhMyE,battle rope training,9,19,9.000000,12.966667,13
